blockTradeId,closedSize,createType,execFee,execFeeV2,execId,execPrice,execQty,execTime,execType,execValue,extraFees,feeCurrency,feeRate,indexPrice,isMaker,leavesQty,markIv,markPrice,marketUnit,orderId,orderLinkId,orderPrice,orderQty,orderType,seq,side,stopOrderType,symbol,tradeIv,underlyingPrice
,0,CreateByUser,0.00897285,-0.00897285,d9382dba-3dbd-58c4-839f-784ca799fe3d,0.01957,1310,1765770701916,Trade,25.6367,,USDT,0.00035,,False,0,,0.01954,,a2908371-3b04-4d0f-8bff-f40187e6c371,,0.0254,1463,Market,233849223868,Buy,UNKNOWN,DODOUSDT,,
,0,CreateByUser,0.00104798,-0.00104798,09189f16-d27d-57da-8cef-5e537b38a24f,0.01957,153,1765770701916,Trade,2.99421,,USDT,0.00035,,False,1310,,0.01954,,a2908371-3b04-4d0f-8bff-f40187e6c371,,0.0254,1463,Market,233849223868,Buy,UNKNOWN,DODOUSDT,,
,0,CreateByUser,0.00798717,-0.00798717,f8a2baab-d6c8-550b-b1a3-7b9c6ba81c77,0.06998,326.1,1765770701733,Trade,22.820478,,USDT,0.00035,,False,0,,0.07001,,295922c0-5caa-4805-9651-6f0d1ec108b8,,0.05951,327.5,Market,297552104760,Sell,UNKNOWN,YGGUSDT,,
,0,CreateByUser,0.0000343,-0.0000343,d55a9a98-5a3b-5fc2-87a2-240164ccb339,0.07,1.4,1765770701733,Trade,0.098,,USDT,0.00035,,False,326.1,,0.07001,,295922c0-5caa-4805-9651-6f0d1ec108b8,,0.05951,327.5,Market,297552104760,Sell,UNKNOWN,YGGUSDT,,
,0,,0.00347562,-0.00347562,3cc4bc40-b3da-418c-93f1-2f94bb8b3be4,0.06389,1088,1765756800000,Funding,69.51232,,USDT,0.00005,,False,0,,0.06389,,4326e8c6-f821-4c30-85fe-32169212ad66,,0,0,UNKNOWN,341327539309,Buy,UNKNOWN,ONTUSDT,,
,0,,-0.00289296,0.00289296,8e9d45a1-12b2-4f2a-a581-61af27dd6b08,0.06815,849,1765756800000,Funding,57.85935,,USDT,-0.00005,,False,0,,0.06815,,10ab7b87-566d-4224-b84d-303bea74bd7e,,0,0,UNKNOWN,228717415417,Sell,UNKNOWN,STEEMUSDT,,
,0,CreateByUser,0.02463396,-0.02463396,0ed79e5f-ad5c-56ed-a561-2cfbe3062eb0,0.06469,1088,1765743661748,Trade,70.38272,,USDT,0.00035,,False,0,,0.06472,,67f6b066-9529-47ce-b5f5-1d0c162e0f20,,0.07442,1088,Market,341296688522,Buy,UNKNOWN,ONTUSDT,,
,0,CreateByUser,0.01675293,-0.01675293,fbaf3183-493d-5da0-9f93-4e7c2ca200cf,0.06907,693,1765743661552,Trade,47.86551,,USDT,0.00035,,False,0,,0.06909,,7da2ca16-1dce-4215-b949-06db6228e89a,,0.05873,849,Market,228696003800,Sell,UNKNOWN,STEEMUSDT,,
,0,CreateByUser,0.00377123,-0.00377123,11129189-ab62-5c6a-9258-bc3b0e5bab79,0.06907,156,1765743661552,Trade,10.77492,,USDT,0.00035,,False,693,,0.06909,,7da2ca16-1dce-4215-b949-06db6228e89a,,0.05873,849,Market,228696003800,Sell,UNKNOWN,STEEMUSDT,,
,67760,CreateByUser,0.02088431,-0.02088431,f5da09a8-78b4-572a-92e3-24199f3fb0a7,0.0008806,67760,1765533939441,Trade,59.669456,,USDT,0.00035,,False,0,,0.0008804,,adc96d83-28c2-43ce-9aaf-b249ddbb6ba9,,0.0010564,67760,Market,290153112449,Buy,UNKNOWN,SLPUSDT,,
,184.8,CreateByUser,0.01633817,-0.01633817,1697968a-d20d-506e-9b12-2e267a52de1b,0.2526,184.8,1765533939256,Trade,46.68048,,USDT,0.00035,,False,0,,0.2527,,2483dfe1-a696-484f-a9f0-159a6eeda511,,0.2275,184.8,Market,340913215646,Sell,UNKNOWN,KNCUSDT,,
,0,,-0.00593307,0.00593307,a95f0980-dabb-48b7-9c45-c1348f20572b,0.0008756,67760,1765526400000,Funding,59.330656,,USDT,-0.0001,,False,0,,0.0008756,,68601607-5beb-4a32-a0ab-edec069fe360,,0,0,UNKNOWN,290142512427,Sell,UNKNOWN,SLPUSDT,,
,0,,0.00472719,-0.00472719,53d6dd51-d4f1-433a-8736-24caa8d229bf,0.2558,184.8,1765526400000,Funding,47.27184,,USDT,0.0001,,False,0,,0.2558,,ab8599a4-f127-46b6-9c77-4c24088083ee,,0,0,UNKNOWN,340895822739,Buy,UNKNOWN,KNCUSDT,,
,0,CreateByUser,0.02075388,-0.02075388,39eca857-fa29-5174-ac86-768542913f9b,0.0008751,67760,1765523568816,Trade,59.296776,,USDT,0.00035,,False,0,,0.000875,,36338229-6c61-4d72-b6f8-40be9c8a2bab,,0.0007,67760,Market,290139143275,Sell,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.00655869,-0.00655869,8994c04e-fc61-5466-890c-591f6f6865c8,0.2567,73,1765523568637,Trade,18.7391,,USDT,0.00035,,False,0,,0.2564,,a913fde1-14ed-43f6-a189-413574ec29fa,,0.282,184.8,Market,340890679409,Buy,UNKNOWN,KNCUSDT,,
,0,CreateByUser,0.01004076,-0.01004076,79eaa785-2c5e-5be2-8505-aec4198c5914,0.2566,111.8,1765523568637,Trade,28.68788,,USDT,0.00035,,False,73,,0.2564,,a913fde1-14ed-43f6-a189-413574ec29fa,,0.282,184.8,Market,340890679409,Buy,UNKNOWN,KNCUSDT,,
,269.4,CreateByUser,0.00726411,-0.00726411,58e08902-5d82-5401-a3fa-9d36156b5ef7,0.07704,269.4,1766608617432,Trade,20.754576,,USDT,0.00035,,False,0,,0.07709,,0f33475c-e835-454e-a6c4-4ad29b8bb04c,,0.06553,269.4,Market,343480704199,Sell,UNKNOWN,MINAUSDT,,
,4.66,CreateByUser,0.00918906,-0.00918906,f8cc0bb4-0e8d-57a2-8e1d-37c60fe7376c,5.634,4.66,1766608617243,Trade,26.25444,,USDT,0.00035,,False,0,,5.634,,6b4f461d-f9e5-4f19-ae53-4da774e51515,,6.479,4.66,Market,243141252966,Buy,UNKNOWN,METISUSDT,,
,0,,0.00103248,-0.00103248,ea90def0-4f3f-4a59-90ee-d0d000e23203,0.07665,269.4,1766606400000,Funding,20.64951,,USDT,0.00005,,False,0,,0.07666,,05ab44aa-b0ce-4681-8dfb-e0ab6c6dcf44,,0,0,UNKNOWN,343478078818,Buy,UNKNOWN,MINAUSDT,,
,0,,-0.00128918,0.00128918,d34cad32-1a23-4286-943c-0e4d0aca370b,5.533,4.66,1766606400000,Funding,25.78378,,USDT,-0.00005,,False,0,,5.533,,f1b0b266-f6ed-4c81-9902-5930a3d5f31d,,0,0,UNKNOWN,243139948950,Sell,UNKNOWN,METISUSDT,,
,0,,0.00102372,-0.00102372,1ee2040d-1cae-4799-bbf2-668e7186c850,0.076,269.4,1766592000000,Funding,20.4744,,USDT,0.00005,,False,0,,0.076,,dec0dba9-66bb-4cb0-8f85-d519fb982f1f,,0,0,UNKNOWN,343458327772,Buy,UNKNOWN,MINAUSDT,,
,0,,-0.00125936,0.00125936,69eb474b-0b87-4365-a43a-52418a8f28bb,5.405,4.66,1766592000000,Funding,25.1873,,USDT,-0.00005,,False,0,,5.405,,825de7f4-674c-46d6-9754-905a733c0db0,,0,0,UNKNOWN,243127739785,Sell,UNKNOWN,METISUSDT,,
,0,CreateByUser,0.00526702,-0.00526702,40016512-f754-5bd5-ae5d-6bc540e68871,0.07472,201.4,1766586736672,Trade,15.048608,,USDT,0.00035,,False,0,,0.07476,,e7c8ddf7-6017-45b1-b4c6-8e1ab27eae83,,0.08597,269.4,Market,343443991068,Buy,UNKNOWN,MINAUSDT,,
,0,CreateByUser,0.00175195,-0.00175195,4cd5d6f8-3726-5a0b-a358-de7dd5e1e220,0.07471,67,1766586736672,Trade,5.00557,,USDT,0.00035,,False,201.4,,0.07476,,e7c8ddf7-6017-45b1-b4c6-8e1ab27eae83,,0.08597,269.4,Market,343443991068,Buy,UNKNOWN,MINAUSDT,,
,0,CreateByUser,0.00002615,-0.00002615,6ce5a5d2-e5f9-514c-abd5-cf909e4403ef,0.07469,1,1766586736672,Trade,0.07469,,USDT,0.00035,,False,268.4,,0.07476,,e7c8ddf7-6017-45b1-b4c6-8e1ab27eae83,,0.08597,269.4,Market,343443991068,Buy,UNKNOWN,MINAUSDT,,
,0,CreateByUser,0.00579263,-0.00579263,3b276b19-cfa9-5c7a-ac49-0ee24075cf9c,5.391,3.07,1766586736490,Trade,16.55037,,USDT,0.00035,,False,0,,5.398,,31aa2049-43c5-40cf-b848-9db4eebfc586,,4.589,4.66,Market,243118505555,Sell,UNKNOWN,METISUSDT,,
,0,CreateByUser,0.00300065,-0.00300065,66d50a05-867e-5ce9-8c16-c1f52c0015ef,5.392,1.59,1766586736490,Trade,8.57328,,USDT,0.00035,,False,3.07,,5.398,,31aa2049-43c5-40cf-b848-9db4eebfc586,,4.589,4.66,Market,243118505555,Sell,UNKNOWN,METISUSDT,,
,7270,CreateByUser,0.00192772,-0.00192772,fc18d766-02d7-53d3-a5b4-a98c9fdc00e7,0.0007576,7270,1766557579211,Trade,5.507752,,USDT,0.00035,,False,0,,0.0007578,,32de941f-f208-4827-ac63-794106517706,,0.0006063,32840,Market,292159028142,Sell,UNKNOWN,SLPUSDT,,
,25570,CreateByUser,0.00678104,-0.00678104,c97deb9f-a399-5791-b4bc-470335decb4b,0.0007577,25570,1766557579211,Trade,19.374389,,USDT,0.00035,,False,7270,,0.0007578,,32de941f-f208-4827-ac63-794106517706,,0.0006063,32840,Market,292159028142,Sell,UNKNOWN,SLPUSDT,,
,88.4,CreateByUser,0.00698007,-0.00698007,d68c223c-8815-541e-b17d-ddf3704777b7,0.2256,88.4,1766557579018,Trade,19.94304,,USDT,0.00035,,False,0,,0.2255,,4d5c384d-c3e5-4dca-9c6d-be995e78fd80,,0.248,88.4,Market,344265847573,Buy,UNKNOWN,KNCUSDT,,
,0,CreateByUser,0.00187916,-0.00187916,0f4c58a9-d3ce-55f5-9830-fd7efc2aa942,0.0007692,6980,1766538351806,Trade,5.369016,,USDT,0.00035,,False,0,,0.0007688,,90e5eaa6-ddd7-44f0-8bbc-11f2a59c747c,,0.0009225,32840,Market,292129164708,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.0000027,-0.0000027,4b1b4b6d-16b9-5819-ac3a-30aaf71090f8,0.0007692,10,1766538351806,Trade,0.007692,,USDT,0.00035,,False,6980,,0.0007688,,90e5eaa6-ddd7-44f0-8bbc-11f2a59c747c,,0.0009225,32840,Market,292129164708,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.00695844,-0.00695844,5f59bb77-dc52-5a00-a448-86c4cc3884e2,0.0007691,25850,1766538351806,Trade,19.881235,,USDT,0.00035,,False,6990,,0.0007688,,90e5eaa6-ddd7-44f0-8bbc-11f2a59c747c,,0.0009225,32840,Market,292129164708,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.00706979,-0.00706979,cdb845cd-2dde-5f23-b536-fa413f301242,0.2285,88.4,1766538351631,Trade,20.1994,,USDT,0.00035,,False,0,,0.2285,,5997102f-61d1-48b9-8f79-045329277d9f,,0.2057,88.4,Market,344214181055,Sell,UNKNOWN,KNCUSDT,,
,2237,CreateByUser,0.00915112,-0.00915112,fce69e69-cb3b-57a8-8049-78853b10cba4,0.011688,2237,1766508876854,Trade,26.146056,,USDT,0.00035,,False,0,,0.011678,,abd5a970-972b-4131-8283-e7cab989054c,,0.012845,2237,Market,234953730183,Buy,UNKNOWN,NKNUSDT,,
,2469,CreateByUser,0.00546662,-0.00546662,f13780ff-7c8d-563c-8d21-9c6ca669e2ad,0.006326,2469,1766508876556,Trade,15.618894,,USDT,0.00035,,False,0,,0.006335,,ccbe3b57-560a-49ff-b332-f57286d094e5,,0.005702,3277,Market,299072254073,Sell,UNKNOWN,ANKRUSDT,,
,808,CreateByUser,0.001789,-0.001789,fd55081a-9983-5157-b604-60a3eeb222a8,0.006326,808,1766508876556,Trade,5.111408,,USDT,0.00035,,False,2469,,0.006335,,ccbe3b57-560a-49ff-b332-f57286d094e5,,0.005702,3277,Market,299072254073,Sell,UNKNOWN,ANKRUSDT,,
,0,,-0.00127799,0.00127799,819ddea7-e8a4-467f-8898-376bbe0a91e0,0.011426,2237,1766505600000,Funding,25.559962,,USDT,-0.00005,,False,0,,0.011425,,308956a6-c47a-4492-aab7-c56e002ad7a8,,0,0,UNKNOWN,234946283524,Sell,UNKNOWN,NKNUSDT,,
,0,,0.00205731,-0.00205731,b01941f5-ad89-43f6-bf3e-ba4312b6ac75,0.006278,3277,1766505600000,Funding,20.573006,,USDT,0.0001,,False,0,,0.006278,,958fa2ed-f73b-448d-9cab-2eb90ac085fd,,0,0,UNKNOWN,299063906916,Buy,UNKNOWN,ANKRUSDT,,
,0,CreateByUser,0.00699626,-0.00699626,54991b77-239b-574e-be88-0105e5cc36ab,0.006204,3222,1766502095964,Trade,19.989288,,USDT,0.00035,,False,0,,0.006202,,63777c1e-d271-485c-bcad-db45d1099473,,0.006822,3277,Market,299054843103,Buy,UNKNOWN,ANKRUSDT,,
,0,CreateByUser,0.00011943,-0.00011943,9b7b0643-6621-5d40-8e30-6869a4ebd257,0.006204,55,1766502095964,Trade,0.34122,,USDT,0.00035,,False,3222,,0.006202,,63777c1e-d271-485c-bcad-db45d1099473,,0.006822,3277,Market,299054843103,Buy,UNKNOWN,ANKRUSDT,,
,0,CreateByUser,0.00024261,-0.00024261,ca8678e3-c3ed-50f4-b57a-b36a625b74c7,0.011363,61,1766502095786,Trade,0.693143,,USDT,0.00035,,False,0,,0.011376,,ef93e955-6530-4655-b6e7-dbcf99534d8c,,0.010239,2237,Market,234935952942,Sell,UNKNOWN,NKNUSDT,,
,0,CreateByUser,0.00735819,-0.00735819,396b58e6-c2c1-507e-a88e-d1dbe3cfdd69,0.011364,1850,1766502095786,Trade,21.0234,,USDT,0.00035,,False,61,,0.011376,,ef93e955-6530-4655-b6e7-dbcf99534d8c,,0.010239,2237,Market,234935952942,Sell,UNKNOWN,NKNUSDT,,
,0,CreateByUser,0.00129664,-0.00129664,bda097d5-3ec1-53f1-94ea-b1347cde9e12,0.011364,326,1766502095786,Trade,3.704664,,USDT,0.00035,,False,1911,,0.011376,,ef93e955-6530-4655-b6e7-dbcf99534d8c,,0.010239,2237,Market,234935952942,Sell,UNKNOWN,NKNUSDT,,
,188,CreateByUser,0.00412632,-0.00412632,b9acf514-b9f6-5858-b34d-3ef6e276a907,0.06271,188,1766495472467,Trade,11.78948,,USDT,0.00035,,False,0,,0.06278,,d228490c-ed37-42a8-a688-3ec1d73f8818,,0.05337,414,Market,229909575507,Sell,UNKNOWN,STEEMUSDT,,
,216,CreateByUser,0.00474088,-0.00474088,c7ee683c-d757-5185-96b3-18f84e5d9187,0.06271,216,1766495472467,Trade,13.54536,,USDT,0.00035,,False,188,,0.06278,,d228490c-ed37-42a8-a688-3ec1d73f8818,,0.05337,414,Market,229909575507,Sell,UNKNOWN,STEEMUSDT,,
,10,CreateByUser,0.00021963,-0.00021963,0a1fddee-4202-53da-bcc9-37aad861a3ac,0.06275,10,1766495472467,Trade,0.6275,,USDT,0.00035,,False,404,,0.06278,,d228490c-ed37-42a8-a688-3ec1d73f8818,,0.05337,414,Market,229909575507,Sell,UNKNOWN,STEEMUSDT,,
,596,CreateByUser,0.00889471,-0.00889471,2b749699-8650-5c36-8e27-2d673ca5773e,0.04264,596,1766495472296,Trade,25.41344,,USDT,0.00035,,False,0,,0.04263,,560094bf-f14d-4afb-a1a8-7b267fcd62a4,,0.04902,596,Market,225255538482,Buy,UNKNOWN,CVCUSDT,,
,0,,0.00888851,-0.00888851,b9936021-d220-4da6-8a6d-13cc8d0fad69,0.0416,596,1766494800000,Funding,24.7936,,USDT,0.000358,,False,0,,0.0416,,565c0865-68c6-4b48-a6bf-26867dec2667,,0,0,UNKNOWN,225254729449,Sell,UNKNOWN,CVCUSDT,,
,0,CreateByUser,0.00851714,-0.00851714,4ea1c35c-a3cc-55dc-b101-f6d549c487f8,0.04083,596,1766494633989,Trade,24.33468,,USDT,0.00035,,False,0,,0.04085,,1ef7ca0e-b7ef-476e-add4-83bc90f21d01,,0.03473,596,Market,225254545049,Sell,UNKNOWN,CVCUSDT,,
,0,CreateByUser,0.00907654,-0.00907654,14fe4293-5b9e-52aa-a25d-737dd2bb63b8,0.06264,414,1766494633807,Trade,25.93296,,USDT,0.00035,,False,0,,0.06267,,d43a7572-c4b4-4dab-962a-a403f7a95d0e,,0.07207,414,Market,229908668983,Buy,UNKNOWN,STEEMUSDT,,
,2.22,CreateByUser,0.00415851,-0.00415851,30e1c4e1-f7f1-5bf2-9f04-73e7c76f6921,5.352,2.22,1766481727952,Trade,11.88144,,USDT,0.00035,,False,0,,5.345,,cf53ccc2-60ee-48eb-b53e-3a6002c7b7e8,,6.146,4.84,Market,243022606722,Buy,UNKNOWN,METISUSDT,,
,2.62,CreateByUser,0.00490595,-0.00490595,5d8bd061-1d50-5b58-b111-b8b585c483a3,5.35,2.62,1766481727952,Trade,14.017,,USDT,0.00035,,False,2.22,,5.345,,cf53ccc2-60ee-48eb-b53e-3a6002c7b7e8,,6.146,4.84,Market,243022606722,Buy,UNKNOWN,METISUSDT,,
,26.6,CreateByUser,0.00767331,-0.00767331,c0c0923a-ad60-5b73-b6f8-3cb4a7c1deb3,0.8242,26.6,1766481727781,Trade,21.92372,,USDT,0.00035,,False,0,,0.8242,,d0fab583-15c4-43d5-a186-0aa253026b54,,0.7418,26.6,Market,252446590802,Sell,UNKNOWN,AXSUSDT,,
,2226,CreateByUser,0.00897056,-0.00897056,cf53681a-de3d-5bca-8da4-a29e4daf26f5,0.011514,2226,1766480495382,Trade,25.630164,,USDT,0.00035,,False,0,,0.011498,,af396d43-5cb0-4601-9973-5cc8faf1ea0a,,0.010349,2226,Market,234895719248,Sell,UNKNOWN,NKNUSDT,,
,3130,CreateByUser,0.00701011,-0.00701011,8adfd7d0-67a7-5b84-a7aa-57378d1bc1ae,0.006399,3130,1766480495203,Trade,20.02887,,USDT,0.00035,,False,0,,0.006392,,51ac321b-529a-4a67-bcda-638223905084,,0.007031,3186,Market,299016784740,Buy,UNKNOWN,ANKRUSDT,,
,56,CreateByUser,0.00012539,-0.00012539,6ae15e53-65c8-5dfd-a9c1-6121cf6c55e4,0.006397,56,1766480495203,Trade,0.358232,,USDT,0.00035,,False,3130,,0.006392,,51ac321b-529a-4a67-bcda-638223905084,,0.007031,3186,Market,299016784740,Buy,UNKNOWN,ANKRUSDT,,
,0,,0.00220275,-0.00220275,8aa0c538-8068-41a1-b699-d900c03d796b,0.8281,26.6,1766476800000,Funding,22.02746,,USDT,0.0001,,False,0,,0.8281,,8791fd2b-3ad3-4395-b4e7-2b00328a60b7,,0,0,UNKNOWN,252426289946,Buy,UNKNOWN,AXSUSDT,,
,0,,0.00127495,-0.00127495,aff20a0e-50d9-4a91-afa2-8d2e49b040a5,0.011455,2226,1766476800000,Funding,25.49883,,USDT,0.00005,,False,0,,0.011444,,5e4ba74a-23cb-4be9-a26c-eb70b6e049cf,,0,0,UNKNOWN,234889106373,Buy,UNKNOWN,NKNUSDT,,
,0,,-0.00128792,0.00128792,5d892e95-b37f-406b-93bc-d636bec0f2f3,5.322,4.84,1766476800000,Funding,25.75848,,USDT,-0.00005,,False,0,,5.322,,a9160506-3bff-41d0-8eeb-c3c45ed02d20,,0,0,UNKNOWN,243019112622,Sell,UNKNOWN,METISUSDT,,
,0,,-0.00204095,0.00204095,f55f6659-f27c-4c59-94f6-47e39ac12204,0.006406,3186,1766476800000,Funding,20.409516,,USDT,-0.0001,,False,0,,0.006406,,ac0aee50-b892-42b4-9ea6-1644b6c4169a,,0,0,UNKNOWN,299012635215,Sell,UNKNOWN,ANKRUSDT,,
,0,CreateByUser,0.00776827,-0.00776827,b13ef643-1cb3-59a6-9800-515e8f459413,0.8344,26.6,1766463709111,Trade,22.19504,,USDT,0.00035,,False,0,,0.8344,,dd256cc2-c782-40c1-ac63-370bbf649387,,0.9178,26.6,Market,252362228937,Buy,UNKNOWN,AXSUSDT,,
,0,CreateByUser,0.00910356,-0.00910356,a0f3ce92-c413-5ca6-82d5-089ec2a6e638,5.374,4.84,1766463708933,Trade,26.01016,,USDT,0.00035,,False,0,,5.379,,04ef9608-acde-460b-946b-ad3db12765d9,,4.573,4.84,Market,243007183970,Sell,UNKNOWN,METISUSDT,,
,0,,0.00130811,-0.00130811,54fb74da-4255-43f7-b9cc-87a911a32393,0.011753,2226,1766462400000,Funding,26.162178,,USDT,0.00005,,False,0,,0.011753,,52149600-88fa-489a-b317-502049318d7c,,0,0,UNKNOWN,234865260272,Buy,UNKNOWN,NKNUSDT,,
,0,,-0.00208428,0.00208428,bd506bd1-0065-42b9-bd26-757be4e79348,0.006542,3186,1766448000000,Funding,20.842812,,USDT,-0.0001,,False,0,,0.006542,,789ca51c-5d48-4079-ba84-15b5c4c81305,,0,0,UNKNOWN,298967525415,Sell,UNKNOWN,ANKRUSDT,,
,0,,0.0013109,-0.0013109,1f09b64a-37f4-4bcc-9688-ebb47f453013,0.011778,2226,1766448000000,Funding,26.217828,,USDT,0.00005,,False,0,,0.011779,,8737b315-875b-4636-b0c1-8516d4a0ab3d,,0,0,UNKNOWN,234846580234,Buy,UNKNOWN,NKNUSDT,,
,6530,CreateByUser,0.00174864,-0.00174864,be77f46c-0355-5f1c-8efe-dd3306ce737e,0.0007651,6530,1766443860994,Trade,4.996103,,USDT,0.00035,,False,0,,0.0007657,,d2b72ccf-e4c8-4e01-a39b-d6e123c864ef,,0.0006126,34310,Market,291960062055,Sell,UNKNOWN,SLPUSDT,,
,7190,CreateByUser,0.00192563,-0.00192563,275d3927-d162-53c5-80a2-266f839cd939,0.0007652,7190,1766443860994,Trade,5.501788,,USDT,0.00035,,False,6530,,0.0007657,,d2b72ccf-e4c8-4e01-a39b-d6e123c864ef,,0.0006126,34310,Market,291960062055,Sell,UNKNOWN,SLPUSDT,,
,20580,CreateByUser,0.0055139,-0.0055139,c9e46b6b-55cf-53bd-b98d-c4ee53913345,0.0007655,20580,1766443860994,Trade,15.75399,,USDT,0.00035,,False,13720,,0.0007657,,d2b72ccf-e4c8-4e01-a39b-d6e123c864ef,,0.0006126,34310,Market,291960062055,Sell,UNKNOWN,SLPUSDT,,
,10,CreateByUser,0.00000268,-0.00000268,8ed3ddc7-3dc7-5936-9f74-f3a69ea44971,0.0007655,10,1766443860994,Trade,0.007655,,USDT,0.00035,,False,34300,,0.0007657,,d2b72ccf-e4c8-4e01-a39b-d6e123c864ef,,0.0006126,34310,Market,291960062055,Sell,UNKNOWN,SLPUSDT,,
,135.2,CreateByUser,0.01058076,-0.01058076,fab76ad8-54c4-52b0-80cf-db90f976d0ba,0.2236,135.2,1766443860825,Trade,30.23072,,USDT,0.00035,,False,0,,0.2234,,d3ddade6-d699-4bc6-97ab-2b2ae6e196f8,,0.2457,135.2,Market,343930440432,Buy,UNKNOWN,KNCUSDT,,
,0,CreateByUser,0.00725039,-0.00725039,61c72a42-9105-548e-83d6-f509c5992f39,0.006502,3186,1766443345777,Trade,20.715372,,USDT,0.00035,,False,0,,0.006513,,f09fc36d-06ea-4aca-b3ae-690746c5c5e3,,0.005862,3186,Market,298962045800,Sell,UNKNOWN,ANKRUSDT,,
,0,CreateByUser,0.0090773,-0.0090773,0d02ca05-85eb-54b7-8827-d96cc5a11a20,0.011651,2226,1766443345593,Trade,25.935126,,USDT,0.00035,,False,0,,0.011651,,dd29bc91-3601-4a6f-8e96-93c0d963c7ae,,0.012816,2226,Market,234842383437,Buy,UNKNOWN,NKNUSDT,,
,0,CreateByUser,0.00030727,-0.00030727,490e6161-5f8e-5578-ad9b-f628a0491215,0.0007568,1160,1766435160735,Trade,0.877888,,USDT,0.00035,,False,0,,0.0007565,,e3f5489b-912b-4555-bdf0-53fa90a88fe1,,0.0009078,34310,Market,291946075860,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.0068551,-0.0068551,bb62443e-38da-5c82-a560-e911b2e193d4,0.0007568,25880,1766435160735,Trade,19.585984,,USDT,0.00035,,False,1160,,0.0007565,,e3f5489b-912b-4555-bdf0-53fa90a88fe1,,0.0009078,34310,Market,291946075860,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.00192568,-0.00192568,a38780f0-0eb7-5516-866f-13a29c71b481,0.0007568,7270,1766435160735,Trade,5.501936,,USDT,0.00035,,False,27040,,0.0007565,,e3f5489b-912b-4555-bdf0-53fa90a88fe1,,0.0009078,34310,Market,291946075860,Buy,UNKNOWN,SLPUSDT,,
,0,CreateByUser,0.01057602,-0.01057602,4e267570-37e1-5f15-b7e5-9cc085bead46,0.2235,135.2,1766435160555,Trade,30.2172,,USDT,0.00035,,False,0,,0.2236,,5dc86b03-3362-4cda-a4dc-157b74aff0a2,,0.2013,135.2,Market,343906479115,Sell,UNKNOWN,KNCUSDT,,
,1130,CreateByUser,0.00030316,-0.00030316,eba49a93-26ec-5b33-bafc-ad6e8ef85cc4,0.0007665,1130,1766433039951,Trade,0.866145,,USDT,0.00035,,False,0,,0.0007665,,345d5dc8-8325-49b0-98c7-ea74b69b64cb,,0.0009198,36170,Market,291940592404,Buy,UNKNOWN,SLPUSDT,,
,24770,CreateByUser,0.00664518,-0.00664518,8481f419-74b7-535e-ae5a-4e4d4d4f116a,0.0007665,24770,1766433039951,Trade,18.986205,,USDT,0.00035,,False,1130,,0.0007665,,345d5dc8-8325-49b0-98c7-ea74b69b64cb,,0.0009198,36170,Market,291940592404,Buy,UNKNOWN,SLPUSDT,,
,10270,CreateByUser,0.00275519,-0.00275519,6f530eb3-9a66-5796-b292-4157e81bd498,0.0007665,10270,1766433039951,Trade,7.871955,,USDT,0.00035,,False,25900,,0.0007665,,345d5dc8-8325-49b0-98c7-ea74b69b64cb,,0.0009198,36170,Market,291940592404,Buy,UNKNOWN,SLPUSDT,,
,114.6,CreateByUser,0.00899668,-0.00899668,7bd2298a-093e-5ea9-b8bc-80e8617e55fa,0.2243,114.6,1766433039764,Trade,25.70478,,USDT,0.00035,,False,0,,0.2246,,16552faa-b40c-4f39-8871-bf052a11aa15,,0.2022,114.6,Market,343896315358,Sell,UNKNOWN,KNCUSDT,,
,0,,-0.00281981,0.00281981,99a174f9-408f-4dc9-b336-22d5184cacac,0.0007796,36170,1766419200000,Funding,28.198132,,USDT,-0.0001,,False,0,,0.0007797,,c1749176-87f0-4a64-adad-b212c78dad72,,0,0,UNKNOWN,291912689360,Sell,UNKNOWN,SLPUSDT,,
,0,,0.0025785,-0.0025785,dcec4754-db45-4e6c-badb-ae62ad495c5f,0.225,114.6,1766419200000,Funding,25.785,,USDT,0.0001,,False,0,,0.225,,e1790d9d-1c26-463c-9931-4c86c50a9fee,,0,0,UNKNOWN,343842317043,Buy,UNKNOWN,KNCUSDT,,
,1340,CreateByUser,0.00458495,-0.00458495,498c76c7-2b19-5cf9-832d-a22ee8bef09a,0.009776,1340,1766392260533,Trade,13.09984,,USDT,0.00035,,False,0,,0.009791,,dc38463d-2eae-47a8-ab53-2c201f5171a9,,0.007833,1340,Market,242932385143,Sell,UNKNOWN,ORBSUSDT,,
,890,CreateByUser,0.0038626,-0.0038626,7d185204-da3b-5833-af5a-f043959d6fd8,0.0124,890,1766392260355,Trade,11.036,,USDT,0.00035,,False,0,,0.01239,,c11541e1-824b-41d1-a05b-5a15deefa751,,0.01362,930,Market,273706929878,Buy,UNKNOWN,ARPAUSDT,,
